[27/10/2019 06:56:20.085] Namenode heartbeat monitor created
[27/10/2019 06:56:20.085] Started NodeKiller
[27/10/2019 06:56:24.558] Namenode has detected a failure in Datanode #12
[27/10/2019 06:56:24.558] Namenode has scheduled to repair block #2
[27/10/2019 06:56:27.615] Datanode #162 has received a block #2
[27/10/2019 06:56:30.132] Datanode #162 has received a block #2
[27/10/2019 06:56:31.641] Datanode #162 has received a block #2
[27/10/2019 06:56:32.615] Namenode has detected a failure in Datanode #11
[27/10/2019 06:56:32.615] Namenode has scheduled to repair block #2
[27/10/2019 06:56:34.155] Datanode #162 has received a block #2
[27/10/2019 06:56:35.667] Datanode #162 has received a block #2
[27/10/2019 06:56:38.184] Datanode #162 has received a block #2
[27/10/2019 06:56:39.688] Datanode #162 has received a block #2
[27/10/2019 06:56:40.685] Namenode has detected a failure in Datanode #9
[27/10/2019 06:56:40.685] Namenode has scheduled to repair block #1
[27/10/2019 06:56:40.686] Namenode has detected a failure in Datanode #43
[27/10/2019 06:56:40.686] Namenode has scheduled to repair block #8
[27/10/2019 06:56:42.203] Datanode #162 has received a block #2
[27/10/2019 06:56:42.700] Namenode has detected a failure in Datanode #176
[27/10/2019 06:56:43.715] Datanode #33 has received a block #1
[27/10/2019 06:56:43.716] Datanode #162 has received a block #2
[27/10/2019 06:56:43.717] Datanode #119 has received a block #8
[27/10/2019 06:56:46.227] Datanode #162 has received a block #2
[27/10/2019 06:56:46.227] Datanode #119 has received a block #8
[27/10/2019 06:56:46.734] Namenode has detected a failure in Datanode #6
[27/10/2019 06:56:46.735] Namenode has scheduled to repair block #1
[27/10/2019 06:56:46.735] Namenode has detected a failure in Datanode #13
[27/10/2019 06:56:46.735] Namenode has scheduled to repair block #2
[27/10/2019 06:56:47.735] Datanode #162 has received a block #2
[27/10/2019 06:56:47.736] Datanode #119 has received a block #8
[27/10/2019 06:56:50.250] Datanode #162 has received a block #2
[27/10/2019 06:56:50.251] Datanode #119 has received a block #8
[27/10/2019 06:56:50.251] Datanode #182 has received a block #1
[27/10/2019 06:56:51.762] Datanode #182 has received a block #1
[27/10/2019 06:56:51.762] Datanode #119 has received a block #8
[27/10/2019 06:56:51.763] Datanode #162 has received a block #2
[27/10/2019 06:56:54.280] Datanode #162 has received a block #2
[27/10/2019 06:56:54.281] Datanode #119 has received a block #8
[27/10/2019 06:56:55.793] Datanode #162 has received a block #2
[27/10/2019 06:56:55.794] Datanode #119 has received a block #8
[27/10/2019 06:56:56.824] Namenode has detected a failure in Datanode #7
[27/10/2019 06:56:56.824] Namenode has scheduled to repair block #1
[27/10/2019 06:56:58.307] Datanode #162 has received a block #2
[27/10/2019 06:56:58.307] Datanode #119 has received a block #8
[27/10/2019 06:56:59.820] Datanode #119 has received a block #8
[27/10/2019 06:56:59.821] Datanode #162 has received a block #2
[27/10/2019 06:57:02.341] Datanode #119 has received a block #8
[27/10/2019 06:57:02.342] Datanode #162 has received a block #2
[27/10/2019 06:57:03.855] Datanode #119 has received a block #8
[27/10/2019 06:57:03.855] Datanode #162 has received a block #2
[27/10/2019 06:57:06.377] Datanode #162 has received a block #2
[27/10/2019 06:57:06.378] Datanode #119 has received a block #8
[27/10/2019 06:57:07.886] Datanode #119 has received a block #8
[27/10/2019 06:57:07.887] Datanode #162 has received a block #2
[27/10/2019 06:57:10.401] Datanode #162 has received a block #2
[27/10/2019 06:57:10.402] Datanode #119 has received a block #8
[27/10/2019 06:57:11.908] Datanode #119 has received a block #8
[27/10/2019 06:57:11.909] Datanode #162 has received a block #2
[27/10/2019 06:57:14.426] Datanode #162 has received a block #2
[27/10/2019 06:57:14.426] Datanode #119 has received a block #8
[27/10/2019 06:57:15.935] Datanode #119 has received a block #8
[27/10/2019 06:57:15.936] Datanode #162 has received a block #2
[27/10/2019 06:57:18.453] Datanode #119 has received a block #8
[27/10/2019 06:57:18.454] Datanode #162 has received a block #2
[27/10/2019 06:57:19.963] Datanode #119 has received a block #8
[27/10/2019 06:57:19.963] Datanode #162 has received a block #2
[27/10/2019 06:57:22.484] Datanode #162 has received a block #2
[27/10/2019 06:57:22.484] Datanode #119 has received a block #8
[27/10/2019 06:57:23.995] Datanode #119 has received a block #8
[27/10/2019 06:57:23.995] Datanode #162 has received a block #2
[27/10/2019 06:57:26.511] Datanode #119 has received a block #8
[27/10/2019 06:57:26.512] Datanode #162 has received a block #2
[27/10/2019 06:57:28.019] Datanode #162 has received a block #2
[27/10/2019 06:57:28.019] Datanode #119 has received a block #8
[27/10/2019 06:57:30.529] Datanode #119 has received a block #8
[27/10/2019 06:57:30.530] Datanode #162 has received a block #2
[27/10/2019 06:57:32.039] Datanode #162 has received a block #2
[27/10/2019 06:57:32.039] Datanode #119 has received a block #8
[27/10/2019 06:57:34.557] Datanode #119 has received a block #8
[27/10/2019 06:57:34.558] Datanode #162 has received a block #2
[27/10/2019 06:57:36.070] Datanode #119 has received a block #8
[27/10/2019 06:57:36.070] Datanode #162 has received a block #2
[27/10/2019 06:57:38.581] Datanode #162 has received a block #2
